review_id,community_id,review_date,rating,review_text,response_text,responded_at
GR125035,C010,2025-03-20,4,Some minor issues but good,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-30
GR773387,C011,2025-03-28,4,Caring staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-03
GR664555,C011,2025-03-14,4,Some minor issues but good,,
GR346448,C011,2025-03-25,5,My mother loves it here,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-26
GR204475,C011,2025-03-14,5,Staff goes above and beyond,,
GR728209,C012,2025-03-17,1,Avoid this place,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-20
GR628968,C012,2025-03-20,5,My mother loves it here,,
GR798682,C012,2025-03-05,4,Some minor issues but good,,
GR203365,C012,2025-03-16,4,Good experience overall,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-19
GR906332,C013,2025-03-27,1,Terrible,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-01
GR407647,C013,2025-03-03,4,Some minor issues but good,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-10
GR544027,C013,2025-03-18,5,Highly recommend,,
GR741061,C014,2025-03-28,5,Wonderful community,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-03
GR948936,C014,2025-03-09,4,Caring staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-20
GR700747,C014,2025-03-04,5,My mother loves it here,,
GR567062,C014,2025-03-02,2,Not what we expected,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-13
