review_id,community_id,review_date,rating,review_text,response_text,responded_at
GR342860,C007,2025-05-18,5,Staff goes above and beyond,,
GR473071,C007,2025-05-15,2,Disappointed,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-18
GR788457,C007,2025-05-08,5,Excellent care and staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-11
GR346426,C008,2025-05-08,4,Mostly happy,,
GR812373,C008,2025-05-03,4,Nice facility,,
GR517564,C008,2025-05-17,5,My mother loves it here,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-26
GR433609,C008,2025-05-18,3,Average,,
GR109328,C008,2025-05-17,4,Mostly happy,,
GR386853,C008,2025-05-13,3,Communication could be better,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-26
GR382204,C008,2025-05-14,1,Avoid this place,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-24
GR327157,C008,2025-05-07,5,Highly recommend,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-18
GR398955,C009,2025-05-05,4,Mostly happy,,
GR947999,C009,2025-05-21,3,Some good some bad,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-22
GR667618,C009,2025-05-15,5,Highly recommend,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-16
GR744652,C009,2025-05-13,4,Caring staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-25
GR121100,C009,2025-05-17,4,Some minor issues but good,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-30
GR463231,C009,2025-05-15,2,Slow response times,,
GR390160,C009,2025-05-12,5,Excellent care and staff,,
GR349206,C010,2025-05-04,3,Average,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-16
GR169243,C010,2025-05-21,5,My mother loves it here,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-30
GR707991,C010,2025-05-23,4,Nice facility,,
GR338859,C010,2025-05-23,4,Nice facility,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-30
GR681496,C010,2025-05-24,5,Excellent care and staff,,
GR487078,C010,2025-05-23,5,Excellent care and staff,,
GR719493,C010,2025-05-03,4,Caring staff,,
GR562915,C010,2025-05-22,3,Some good some bad,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-24
GR610932,C011,2025-05-19,5,Highly recommend,,
GR206958,C011,2025-05-22,5,Staff goes above and beyond,,
GR847665,C012,2025-05-08,4,Good experience overall,,
GR921689,C012,2025-05-24,3,Average,,
GR396859,C012,2025-05-28,5,Staff goes above and beyond,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-06-04
GR957151,C012,2025-05-25,5,Wonderful community,,
GR823484,C012,2025-05-04,3,Average,,
GR711486,C012,2025-05-11,2,Staffing issues,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-13
GR802875,C013,2025-05-17,4,Some minor issues but good,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-20
GR356628,C013,2025-05-09,4,Caring staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-12
GR358226,C013,2025-05-25,5,Staff goes above and beyond,,
GR231844,C013,2025-05-16,5,My mother loves it here,,
GR526662,C014,2025-05-22,1,Terrible,,
GR267144,C014,2025-05-04,1,Neglectful,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-06
GR710925,C014,2025-05-27,2,Slow response times,,
GR675575,C014,2025-05-21,4,Good experience overall,,
GR542287,C014,2025-05-15,4,Caring staff,,
GR854964,C014,2025-05-23,4,Some minor issues but good,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-30
