lead_id,community_id,lead_source,created_date,tour_date,deposit_date,move_in_date,status,lost_reason
HL727919,C004,Referral,2025-05-07,2025-05-21,,,Lost,Chose Competitor
HL634043,C004,Web Inquiry,2025-05-02,2025-05-08,,,Lost,Chose Competitor
HL827303,C004,Google Ads,2025-05-24,,,,Open,
HL587548,C004,Facebook,2025-05-25,2025-06-15,,,Lost,Health Decline
HL305519,C004,Google Ads,2025-05-09,,,,Lost,Health Decline
HL894134,C004,Facebook,2025-05-20,2025-06-09,,,Lost,Affordability
HL293139,C004,Referral,2025-05-03,2025-05-07,2025-06-06,2025-06-05,Won,
HL349078,C005,Facebook,2025-05-19,2025-05-29,,,Lost,Other
HL617276,C005,Referral,2025-05-22,,,,Open,
HL680149,C005,Facebook,2025-05-28,,,,Open,
HL381281,C005,Event,2025-05-01,2025-05-20,2025-05-22,2025-06-20,Won,
HL693352,C005,Referral,2025-05-15,,,,Lost,Health Decline
HL993490,C005,Google Ads,2025-05-27,2025-06-07,,,Lost,Stayed Home
HL258739,C005,Web Inquiry,2025-05-11,2025-05-25,,,Lost,Other
HL651471,C005,Referral,2025-05-01,,,,Lost,Stayed Home
HL205861,C005,Web Inquiry,2025-05-03,,,,Open,
HL566477,C006,Facebook,2025-05-08,2025-05-14,,,Lost,Affordability
HL205186,C006,Event,2025-05-07,,2025-05-28,2025-05-28,Won,
HL177820,C006,Walk-in,2025-05-28,,,,Lost,Affordability
HL373311,C006,Web Inquiry,2025-05-26,,,,Lost,Chose Competitor
HL669835,C006,Event,2025-05-16,,,,Open,
HL548291,C006,Referral,2025-05-09,2025-05-15,,,Lost,Other
HL737524,C007,Google Ads,2025-05-27,2025-06-08,,,Lost,Chose Competitor
HL710561,C007,Event,2025-05-20,,,,Open,
HL665659,C007,Event,2025-05-17,2025-06-04,,,Lost,Affordability
HL328001,C007,Print,2025-05-06,,,,Open,
HL450736,C007,Referral,2025-05-26,2025-06-14,2025-06-13,2025-07-10,Won,
HL650530,C007,Event,2025-05-16,2025-05-31,,,Lost,Other
HL828360,C008,Walk-in,2025-05-05,,,,Open,
HL168663,C008,Walk-in,2025-05-07,2025-05-19,,,Lost,Affordability
HL686284,C008,Event,2025-05-12,,,,Lost,Stayed Home
HL165807,C008,Google Ads,2025-05-24,2025-06-13,,,Lost,Other
HL835770,C008,Facebook,2025-05-04,,,,Lost,Affordability
HL582349,C008,Referral,2025-05-16,2025-06-03,,,Lost,Affordability
HL684518,C008,Google Ads,2025-05-08,,,,Open,
HL106028,C008,Event,2025-05-15,,,,Open,
HL214134,C008,Google Ads,2025-05-05,2025-05-11,,,Lost,Affordability
HL105029,C008,Event,2025-05-12,,,,Open,
HL550478,C008,Google Ads,2025-05-19,,,,Lost,Other
HL729099,C008,Web Inquiry,2025-05-20,,2025-06-28,2025-06-24,Won,
HL321809,C008,Walk-in,2025-05-08,2025-05-27,,,Lost,Stayed Home
HL320768,C008,Walk-in,2025-05-19,,,,Open,
HL117165,C008,Event,2025-05-18,,,,Open,
HL260387,C009,Web Inquiry,2025-05-25,2025-05-31,2025-06-09,2025-06-28,Won,
HL164397,C009,Web Inquiry,2025-05-25,,,,Open,
HL856832,C009,Google Ads,2025-05-01,2025-05-13,,,Lost,Chose Competitor
HL632817,C009,Google Ads,2025-05-14,,,,Open,
HL654329,C009,Facebook,2025-05-28,,,,Lost,Chose Competitor
HL832740,C009,Referral,2025-05-24,2025-05-31,,,Lost,Other
HL788797,C009,Facebook,2025-05-19,,,,Open,
HL289081,C009,Walk-in,2025-05-07,,,,Lost,Other
HL868306,C009,Facebook,2025-05-06,,,,Open,
HL247415,C009,Google Ads,2025-05-23,2025-06-10,,,Lost,Health Decline
HL806023,C009,Facebook,2025-05-18,,,,Open,
HL255415,C009,Walk-in,2025-05-23,,,,Open,
HL704739,C009,Google Ads,2025-05-06,,2025-05-21,2025-06-21,Won,
HL463293,C010,Event,2025-05-09,,,,Open,
HL647056,C010,Referral,2025-05-03,,,,Open,
HL796064,C010,Print,2025-05-18,,,,Open,
HL657316,C010,Walk-in,2025-05-02,,2025-05-26,2025-06-18,Won,
HL429917,C010,Google Ads,2025-05-02,2025-05-10,,,Lost,Health Decline
HL908228,C010,Print,2025-05-15,2025-05-19,,,Lost,Affordability
HL726035,C010,Print,2025-05-05,2025-05-11,,,Lost,Other
HL125068,C010,Walk-in,2025-05-23,2025-05-27,,,Lost,Health Decline
HL432151,C010,Web Inquiry,2025-05-03,2025-05-07,,,Lost,Chose Competitor
HL153458,C010,Facebook,2025-05-18,2025-05-26,,,Lost,Other
HL438338,C010,Event,2025-05-19,2025-05-28,,,Lost,Chose Competitor
HL395579,C010,Web Inquiry,2025-05-16,2025-06-03,,,Lost,Stayed Home
HL302950,C010,Web Inquiry,2025-05-25,,,,Open,
HL582542,C010,Event,2025-05-12,2025-05-22,,,Lost,Stayed Home
HL542683,C010,Event,2025-05-12,,2025-05-29,2025-07-04,Won,
HL385196,C011,Google Ads,2025-05-10,,,,Lost,Health Decline
HL700354,C011,Web Inquiry,2025-05-21,,2025-06-01,2025-07-09,Won,
HL173720,C011,Web Inquiry,2025-05-12,,,,Open,
HL525251,C011,Referral,2025-05-18,2025-06-01,2025-06-26,2025-07-10,Won,
HL646220,C011,Event,2025-05-22,,,,Open,
HL962999,C011,Facebook,2025-05-16,2025-06-06,2025-06-21,2025-07-11,Won,
HL164099,C011,Event,2025-05-08,,,,Open,
HL402236,C012,Event,2025-05-11,,,,Open,
HL367970,C012,Event,2025-05-15,,,,Open,
HL249601,C012,Web Inquiry,2025-05-25,,,,Lost,Other
HL728781,C012,Event,2025-05-05,,,,Open,
HL243963,C012,Event,2025-05-19,,,,Open,
HL350922,C012,Google Ads,2025-05-13,,,,Open,
HL463662,C012,Web Inquiry,2025-05-26,2025-05-29,2025-06-11,2025-06-15,Won,
HL360549,C012,Web Inquiry,2025-05-03,2025-05-08,,,Lost,Stayed Home
HL482746,C012,Print,2025-05-03,,,,Open,
HL512079,C012,Referral,2025-05-10,,,,Open,
HL258751,C012,Referral,2025-05-12,2025-05-24,,,Lost,Chose Competitor
HL907335,C012,Web Inquiry,2025-05-23,2025-06-06,2025-06-29,2025-06-29,Won,
HL970389,C012,Facebook,2025-05-09,2025-05-29,,,Lost,Chose Competitor
HL724985,C012,Print,2025-05-11,,,,Lost,Affordability
HL601439,C013,Walk-in,2025-05-14,,,,Open,
HL528386,C013,Event,2025-05-09,2025-05-16,,,Lost,Other
HL951887,C013,Event,2025-05-27,,,,Open,
HL505929,C013,Event,2025-05-28,2025-06-06,,,Lost,Health Decline
HL510567,C013,Facebook,2025-05-08,2025-05-28,,,Lost,Affordability
HL295425,C014,Event,2025-05-23,,,,Open,
HL864514,C014,Referral,2025-05-04,,2025-05-27,2025-06-11,Won,
HL906371,C014,Print,2025-05-02,,,,Open,
HL958271,C014,Event,2025-05-14,2025-05-26,2025-05-29,2025-06-10,Won,
HL995334,C014,Web Inquiry,2025-05-20,,2025-06-04,2025-06-16,Won,
HL415343,C014,Event,2025-05-04,,,,Lost,Stayed Home
HL882746,C014,Web Inquiry,2025-05-13,,,,Lost,Chose Competitor
HL555615,C014,Google Ads,2025-05-25,2025-06-08,,,Lost,Chose Competitor
HL436591,C014,Facebook,2025-05-05,,,,Lost,Affordability
HL144871,C014,Referral,2025-05-10,,,,Lost,Stayed Home
HL449077,C014,Facebook,2025-05-20,2025-06-01,2025-06-25,2025-06-15,Won,
HL770442,C014,Print,2025-05-24,,,,Lost,Chose Competitor
HL433629,C014,Walk-in,2025-05-27,,2025-06-15,2025-07-15,Won,
