unit_id,community_id,unit_type,monthly_rent,snapshot_date
U00072,C002,IL,4185,2025-03-01
U00073,C002,IL,3729,2025-03-01
U00074,C002,IL,4723,2025-03-01
U00075,C002,IL,4000,2025-03-01
U00076,C002,IL,4183,2025-03-01
U00077,C002,IL,4040,2025-03-01
U00078,C002,IL,4720,2025-03-01
U00079,C002,IL,3506,2025-03-01
U00080,C002,IL,4302,2025-03-01
U00081,C002,IL,4208,2025-03-01
U00082,C002,IL,3656,2025-03-01
U00083,C002,IL,3645,2025-03-01
U00084,C002,IL,4577,2025-03-01
U00085,C002,IL,4087,2025-03-01
U00086,C002,AL,5262,2025-03-01
U00087,C002,AL,5885,2025-03-01
U00088,C002,AL,4854,2025-03-01
U00089,C002,AL,6349,2025-03-01
U00090,C002,AL,5149,2025-03-01
U00091,C002,AL,6042,2025-03-01
U00092,C002,AL,5102,2025-03-01
U00093,C002,AL,5724,2025-03-01
U00094,C002,AL,5491,2025-03-01
U00095,C002,AL,4988,2025-03-01
U00096,C002,AL,6224,2025-03-01
U00097,C002,AL,5864,2025-03-01
U00098,C002,AL,6330,2025-03-01
U00099,C002,AL,6091,2025-03-01
U00100,C002,AL,5286,2025-03-01
U00101,C002,AL,5677,2025-03-01
U00102,C002,AL,5863,2025-03-01
U00103,C002,AL,6328,2025-03-01
U00104,C002,AL,6398,2025-03-01
U00105,C002,AL,5195,2025-03-01
U00106,C002,AL,5216,2025-03-01
U00107,C002,AL,5614,2025-03-01
U00108,C002,AL,6475,2025-03-01
U00109,C002,AL,5115,2025-03-01
U00110,C002,AL,5456,2025-03-01
U00111,C002,AL,5159,2025-03-01
U00112,C002,AL,5497,2025-03-01
U00113,C002,AL,6474,2025-03-01
U00114,C002,AL,5926,2025-03-01
U00115,C002,AL,5971,2025-03-01
U00116,C002,MC,8487,2025-03-01
U00117,C002,MC,8799,2025-03-01
U00118,C002,MC,7363,2025-03-01
U00119,C002,MC,7689,2025-03-01
U00120,C002,MC,7491,2025-03-01
U00121,C002,MC,6520,2025-03-01
U00122,C002,MC,7294,2025-03-01
U00123,C002,MC,7472,2025-03-01
U00124,C002,MC,8753,2025-03-01
U00125,C002,MC,8168,2025-03-01
U00126,C002,MC,7457,2025-03-01
U00127,C002,MC,7008,2025-03-01
U00128,C002,MC,8017,2025-03-01
U00129,C002,MC,6573,2025-03-01
U00130,C002,MC,6694,2025-03-01
U00131,C003,IL,4539,2025-03-01
U00132,C003,IL,4689,2025-03-01
U00133,C003,IL,4092,2025-03-01
U00134,C003,IL,3872,2025-03-01
U00135,C003,IL,4022,2025-03-01
U00136,C003,IL,4325,2025-03-01
U00137,C003,IL,4673,2025-03-01
U00138,C003,IL,4778,2025-03-01
U00139,C003,IL,4107,2025-03-01
U00140,C003,IL,4738,2025-03-01
U00141,C003,IL,4434,2025-03-01
U00142,C003,IL,4105,2025-03-01
U00143,C003,IL,4249,2025-03-01
U00144,C003,IL,4664,2025-03-01
U00145,C003,IL,4176,2025-03-01
U00146,C003,IL,4102,2025-03-01
U00147,C003,IL,4134,2025-03-01
U00148,C003,IL,3858,2025-03-01
U00149,C003,IL,3878,2025-03-01
U00150,C003,IL,4102,2025-03-01
U00151,C003,AL,5627,2025-03-01
U00152,C003,AL,4912,2025-03-01
U00153,C003,AL,6232,2025-03-01
U00154,C003,AL,5768,2025-03-01
U00155,C003,AL,6111,2025-03-01
U00156,C003,AL,6364,2025-03-01
U00157,C003,AL,6114,2025-03-01
U00158,C003,AL,6334,2025-03-01
U00159,C003,AL,5950,2025-03-01
U00160,C003,AL,6042,2025-03-01
U00161,C003,AL,6172,2025-03-01
U00162,C003,AL,6131,2025-03-01
U00163,C003,AL,5083,2025-03-01
U00164,C003,AL,6476,2025-03-01
U00165,C003,AL,5505,2025-03-01
U00166,C003,AL,5091,2025-03-01
U00167,C003,AL,5689,2025-03-01
U00168,C003,AL,5924,2025-03-01
U00169,C003,AL,6009,2025-03-01
U00170,C003,AL,6185,2025-03-01
U00171,C003,AL,6153,2025-03-01
U00172,C003,AL,6404,2025-03-01
U00173,C003,AL,5973,2025-03-01
U00174,C003,AL,5633,2025-03-01
U00175,C003,AL,4830,2025-03-01
U00176,C003,AL,6456,2025-03-01
U00177,C003,AL,6176,2025-03-01
U00178,C003,AL,6453,2025-03-01
U00179,C003,AL,5970,2025-03-01
U00180,C003,AL,5315,2025-03-01
U00181,C003,MC,8717,2025-03-01
U00182,C003,MC,8906,2025-03-01
U00183,C003,MC,7613,2025-03-01
U00184,C003,MC,6620,2025-03-01
U00185,C003,MC,7416,2025-03-01
U00186,C003,MC,8604,2025-03-01
U00187,C003,MC,8100,2025-03-01
U00188,C003,MC,6725,2025-03-01
U00189,C003,MC,8085,2025-03-01
U00190,C003,MC,6807,2025-03-01
U00191,C003,MC,7291,2025-03-01
U00192,C003,MC,6604,2025-03-01
U00193,C003,MC,8036,2025-03-01
U00194,C003,MC,7643,2025-03-01
U00195,C003,MC,8984,2025-03-01
U00196,C004,IL,3649,2025-03-01
U00197,C004,IL,3611,2025-03-01
U00198,C004,IL,3862,2025-03-01
U00199,C004,IL,3901,2025-03-01
U00200,C004,IL,4342,2025-03-01
U00201,C004,IL,3603,2025-03-01
U00202,C004,IL,3951,2025-03-01
U00203,C004,IL,4053,2025-03-01
U00204,C004,IL,4402,2025-03-01
U00205,C004,IL,4076,2025-03-01
U00206,C004,IL,3619,2025-03-01
U00207,C004,IL,3786,2025-03-01
U00208,C004,IL,4343,2025-03-01
U00209,C004,IL,4721,2025-03-01
U00210,C004,IL,3539,2025-03-01
U00211,C004,IL,4507,2025-03-01
U00212,C004,IL,4287,2025-03-01
U00213,C004,IL,4657,2025-03-01
U00214,C004,IL,3636,2025-03-01
U00215,C004,IL,3546,2025-03-01
U00216,C004,AL,5338,2025-03-01
U00217,C004,AL,5206,2025-03-01
U00218,C004,AL,5275,2025-03-01
U00219,C004,AL,5443,2025-03-01
U00220,C004,AL,5214,2025-03-01
U00221,C004,AL,5022,2025-03-01
U00222,C004,AL,4962,2025-03-01
U00223,C004,AL,5219,2025-03-01
U00224,C004,AL,4960,2025-03-01
U00225,C004,AL,4800,2025-03-01
U00226,C004,AL,5248,2025-03-01
U00227,C004,AL,6489,2025-03-01
U00228,C004,AL,5071,2025-03-01
U00229,C004,AL,5918,2025-03-01
U00230,C004,AL,5570,2025-03-01
U00231,C004,AL,5246,2025-03-01
U00232,C004,AL,6167,2025-03-01
U00233,C004,AL,5428,2025-03-01
U00234,C004,AL,4900,2025-03-01
U00235,C004,AL,5461,2025-03-01
U00236,C004,AL,5610,2025-03-01
U00237,C004,AL,4888,2025-03-01
U00238,C004,AL,5364,2025-03-01
U00239,C004,AL,5284,2025-03-01
U00240,C004,AL,6196,2025-03-01
U00241,C004,AL,5615,2025-03-01
U00242,C004,AL,5021,2025-03-01
U00243,C004,AL,6317,2025-03-01
U00244,C004,AL,5148,2025-03-01
U00245,C004,AL,4828,2025-03-01
U00246,C004,MC,8912,2025-03-01
U00247,C004,MC,7247,2025-03-01
U00248,C004,MC,7292,2025-03-01
U00249,C004,MC,8219,2025-03-01
U00250,C004,MC,8736,2025-03-01
U00251,C004,MC,8512,2025-03-01
U00252,C004,MC,7457,2025-03-01
U00253,C004,MC,7448,2025-03-01
U00254,C004,MC,6970,2025-03-01
U00255,C004,MC,8726,2025-03-01
U00256,C004,MC,6619,2025-03-01
U00257,C004,MC,8844,2025-03-01
U00258,C004,MC,6593,2025-03-01
U00259,C004,MC,8910,2025-03-01
U00260,C004,MC,8255,2025-03-01
U00261,C005,IL,4324,2025-03-01
U00262,C005,IL,4428,2025-03-01
U00263,C005,IL,4324,2025-03-01
U00264,C005,IL,4329,2025-03-01
U00265,C005,IL,3531,2025-03-01
U00266,C005,IL,4270,2025-03-01
U00267,C005,IL,3672,2025-03-01
U00268,C005,IL,3869,2025-03-01
U00269,C005,IL,4171,2025-03-01
U00270,C005,IL,3676,2025-03-01
U00271,C005,IL,3530,2025-03-01
U00272,C005,IL,4604,2025-03-01
U00273,C005,IL,4042,2025-03-01
U00274,C005,IL,3807,2025-03-01
U00275,C005,IL,4570,2025-03-01
U00276,C005,IL,3648,2025-03-01
U00277,C005,IL,4170,2025-03-01
U00278,C005,IL,4435,2025-03-01
U00279,C005,IL,3580,2025-03-01
U00280,C005,IL,4594,2025-03-01
U00281,C005,AL,5680,2025-03-01
U00282,C005,AL,5391,2025-03-01
U00283,C005,AL,5124,2025-03-01
U00284,C005,AL,5477,2025-03-01
U00285,C005,AL,6216,2025-03-01
U00286,C005,AL,5687,2025-03-01
U00287,C005,AL,5839,2025-03-01
U00288,C005,AL,5410,2025-03-01
U00289,C005,AL,6306,2025-03-01
U00290,C005,AL,5933,2025-03-01
U00291,C005,AL,5380,2025-03-01
U00292,C005,AL,6082,2025-03-01
U00293,C005,AL,5737,2025-03-01
U00294,C005,AL,4987,2025-03-01
U00295,C005,AL,5281,2025-03-01
U00296,C005,AL,5716,2025-03-01
U00297,C005,AL,5201,2025-03-01
U00298,C005,AL,4853,2025-03-01
U00299,C005,AL,5579,2025-03-01
U00300,C005,AL,4930,2025-03-01
U00301,C005,AL,6050,2025-03-01
U00302,C005,AL,5587,2025-03-01
U00303,C005,AL,6077,2025-03-01
U00304,C005,AL,5835,2025-03-01
U00305,C005,AL,5065,2025-03-01
U00306,C005,AL,5981,2025-03-01
U00307,C005,AL,6335,2025-03-01
U00308,C005,AL,5451,2025-03-01
U00309,C005,AL,5616,2025-03-01
U00310,C005,AL,6422,2025-03-01
U00311,C005,MC,7603,2025-03-01
U00312,C005,MC,7976,2025-03-01
U00313,C005,MC,7859,2025-03-01
U00314,C005,MC,6656,2025-03-01
U00315,C005,MC,7011,2025-03-01
U00316,C005,MC,8719,2025-03-01
U00317,C005,MC,7903,2025-03-01
U00318,C005,MC,7528,2025-03-01
U00319,C005,MC,8110,2025-03-01
U00320,C005,MC,8114,2025-03-01
U00321,C005,MC,7945,2025-03-01
U00322,C005,MC,7260,2025-03-01
U00323,C005,MC,7045,2025-03-01
U00324,C005,MC,8859,2025-03-01
U00325,C005,MC,8103,2025-03-01
U00326,C006,IL,3955,2025-03-01
U00327,C006,IL,4672,2025-03-01
U00328,C006,IL,4329,2025-03-01
U00329,C006,IL,3663,2025-03-01
U00330,C006,IL,3882,2025-03-01
U00331,C006,IL,4489,2025-03-01
U00332,C006,IL,4296,2025-03-01
U00333,C006,IL,3851,2025-03-01
U00334,C006,IL,3953,2025-03-01
U00335,C006,IL,4203,2025-03-01
U00336,C006,IL,4257,2025-03-01
U00337,C006,IL,4533,2025-03-01
U00338,C006,IL,4301,2025-03-01
U00339,C006,IL,3552,2025-03-01
U00340,C006,IL,4562,2025-03-01
U00341,C006,IL,4644,2025-03-01
U00342,C006,IL,4749,2025-03-01
U00343,C006,IL,4088,2025-03-01
U00344,C006,IL,3959,2025-03-01
U00345,C006,IL,4127,2025-03-01
U00346,C006,AL,6488,2025-03-01
U00347,C006,AL,5031,2025-03-01
U00348,C006,AL,5791,2025-03-01
U00349,C006,AL,5207,2025-03-01
U00350,C006,AL,5991,2025-03-01
U00351,C006,AL,6424,2025-03-01
U00352,C006,AL,5545,2025-03-01
U00353,C006,AL,5429,2025-03-01
U00354,C006,AL,5401,2025-03-01
U00355,C006,AL,5469,2025-03-01
U00356,C006,AL,5019,2025-03-01
U00357,C006,AL,5549,2025-03-01
U00358,C006,AL,5774,2025-03-01
U00359,C006,AL,5287,2025-03-01
U00360,C006,AL,5449,2025-03-01
U00361,C006,AL,6071,2025-03-01
U00362,C006,AL,6227,2025-03-01
U00363,C006,AL,6376,2025-03-01
U00364,C006,AL,6389,2025-03-01
U00365,C006,AL,5735,2025-03-01
U00366,C006,AL,5883,2025-03-01
U00367,C006,AL,5872,2025-03-01
U00368,C006,AL,4923,2025-03-01
U00369,C006,AL,6351,2025-03-01
U00370,C006,AL,5356,2025-03-01
U00371,C006,AL,5281,2025-03-01
U00372,C006,AL,5942,2025-03-01
U00373,C006,AL,5133,2025-03-01
U00374,C006,AL,5941,2025-03-01
U00375,C006,AL,4919,2025-03-01
U00376,C006,MC,8201,2025-03-01
U00377,C006,MC,8311,2025-03-01
U00378,C006,MC,7186,2025-03-01
U00379,C006,MC,7883,2025-03-01
U00380,C006,MC,7645,2025-03-01
U00381,C006,MC,7890,2025-03-01
U00382,C006,MC,7989,2025-03-01
U00383,C006,MC,7679,2025-03-01
U00384,C006,MC,7027,2025-03-01
U00385,C006,MC,6986,2025-03-01
U00386,C006,MC,8253,2025-03-01
U00387,C006,MC,7057,2025-03-01
U00388,C006,MC,6675,2025-03-01
U00389,C006,MC,7756,2025-03-01
U00390,C006,MC,7440,2025-03-01
U00391,C007,IL,4700,2025-03-01
U00392,C007,IL,3648,2025-03-01
U00393,C007,IL,3737,2025-03-01
U00394,C007,IL,4149,2025-03-01
U00395,C007,IL,3511,2025-03-01
U00396,C007,IL,4484,2025-03-01
U00397,C007,IL,3917,2025-03-01
U00398,C007,IL,4637,2025-03-01
U00399,C007,IL,3705,2025-03-01
U00400,C007,IL,4082,2025-03-01
U00401,C007,IL,4763,2025-03-01
U00402,C007,IL,4701,2025-03-01
U00403,C007,IL,3795,2025-03-01
U00404,C007,IL,4366,2025-03-01
U00405,C007,IL,4099,2025-03-01
U00406,C007,IL,3806,2025-03-01
U00407,C007,IL,3765,2025-03-01
U00408,C007,IL,3843,2025-03-01
U00409,C007,IL,3928,2025-03-01
U00410,C007,IL,3947,2025-03-01
U00411,C007,AL,6454,2025-03-01
U00412,C007,AL,5189,2025-03-01
U00413,C007,AL,5209,2025-03-01
U00414,C007,AL,6121,2025-03-01
U00415,C007,AL,5424,2025-03-01
U00416,C007,AL,5572,2025-03-01
U00417,C007,AL,5864,2025-03-01
U00418,C007,AL,5337,2025-03-01
U00419,C007,AL,5217,2025-03-01
U00420,C007,AL,5506,2025-03-01
U00421,C007,AL,5138,2025-03-01
U00422,C007,AL,5862,2025-03-01
U00423,C007,AL,5162,2025-03-01
U00424,C007,AL,5783,2025-03-01
U00425,C007,AL,5333,2025-03-01
U00426,C007,AL,6085,2025-03-01
U00427,C007,AL,5077,2025-03-01
U00428,C007,AL,5969,2025-03-01
U00429,C007,AL,5091,2025-03-01
U00430,C007,AL,6472,2025-03-01
U00431,C007,AL,6146,2025-03-01
U00432,C007,AL,6294,2025-03-01
U00433,C007,AL,4908,2025-03-01
U00434,C007,AL,6271,2025-03-01
U00435,C007,AL,6121,2025-03-01
U00436,C007,AL,4929,2025-03-01
U00437,C007,AL,5206,2025-03-01
U00438,C007,AL,5956,2025-03-01
U00439,C007,AL,4859,2025-03-01
U00440,C007,AL,5153,2025-03-01
U00441,C007,MC,7376,2025-03-01
U00442,C007,MC,6912,2025-03-01
U00443,C007,MC,7839,2025-03-01
U00444,C007,MC,7741,2025-03-01
U00445,C007,MC,8755,2025-03-01
U00446,C007,MC,7182,2025-03-01
U00447,C007,MC,7989,2025-03-01
U00448,C007,MC,8865,2025-03-01
U00449,C007,MC,7811,2025-03-01
U00450,C007,MC,7592,2025-03-01
U00451,C007,MC,8503,2025-03-01
U00452,C007,MC,8519,2025-03-01
U00453,C007,MC,8110,2025-03-01
U00454,C007,MC,6580,2025-03-01
U00455,C007,MC,7569,2025-03-01
U00456,C008,IL,4019,2025-03-01
U00457,C008,IL,4751,2025-03-01
U00458,C008,IL,3869,2025-03-01
U00459,C008,IL,4692,2025-03-01
U00460,C008,IL,3882,2025-03-01
U00461,C008,IL,4401,2025-03-01
U00462,C008,IL,3613,2025-03-01
U00463,C008,IL,4720,2025-03-01
U00464,C008,IL,4519,2025-03-01
U00465,C008,IL,3938,2025-03-01
U00466,C008,IL,3783,2025-03-01
U00467,C008,IL,4562,2025-03-01
U00468,C008,IL,3805,2025-03-01
U00469,C008,IL,3775,2025-03-01
U00470,C008,IL,4313,2025-03-01
U00471,C008,IL,4622,2025-03-01
U00472,C008,IL,3577,2025-03-01
U00473,C008,IL,4635,2025-03-01
U00474,C008,IL,4453,2025-03-01
U00475,C008,IL,4536,2025-03-01
U00476,C008,AL,6200,2025-03-01
U00477,C008,AL,6166,2025-03-01
U00478,C008,AL,5178,2025-03-01
U00479,C008,AL,5607,2025-03-01
U00480,C008,AL,5213,2025-03-01
U00481,C008,AL,5418,2025-03-01
U00482,C008,AL,6121,2025-03-01
U00483,C008,AL,6426,2025-03-01
U00484,C008,AL,5024,2025-03-01
U00485,C008,AL,5510,2025-03-01
U00486,C008,AL,6290,2025-03-01
U00487,C008,AL,4846,2025-03-01
U00488,C008,AL,5142,2025-03-01
U00489,C008,AL,6159,2025-03-01
U00490,C008,AL,5420,2025-03-01
U00491,C008,AL,5367,2025-03-01
U00492,C008,AL,4916,2025-03-01
U00493,C008,AL,5980,2025-03-01
U00494,C008,AL,4969,2025-03-01
U00495,C008,AL,5823,2025-03-01
U00496,C008,AL,5035,2025-03-01
U00497,C008,AL,4899,2025-03-01
U00498,C008,AL,5036,2025-03-01
U00499,C008,AL,5041,2025-03-01
U00500,C008,AL,5755,2025-03-01
U00501,C008,AL,5035,2025-03-01
U00502,C008,AL,5037,2025-03-01
U00503,C008,AL,5624,2025-03-01
U00504,C008,AL,5170,2025-03-01
U00505,C008,AL,6064,2025-03-01
U00506,C008,MC,7904,2025-03-01
U00507,C008,MC,8292,2025-03-01
U00508,C008,MC,7376,2025-03-01
U00509,C008,MC,8842,2025-03-01
U00510,C008,MC,8057,2025-03-01
U00511,C008,MC,8696,2025-03-01
U00512,C008,MC,7232,2025-03-01
U00513,C008,MC,7734,2025-03-01
U00514,C008,MC,7112,2025-03-01
U00515,C008,MC,6911,2025-03-01
U00516,C008,MC,6593,2025-03-01
U00517,C008,MC,8117,2025-03-01
U00518,C008,MC,7075,2025-03-01
U00519,C008,MC,8861,2025-03-01
U00520,C008,MC,7114,2025-03-01
U00521,C009,IL,4721,2025-03-01
U00522,C009,IL,3763,2025-03-01
U00523,C009,IL,3896,2025-03-01
U00524,C009,IL,4216,2025-03-01
U00525,C009,IL,3635,2025-03-01
U00526,C009,IL,3939,2025-03-01
U00527,C009,IL,4721,2025-03-01
U00528,C009,IL,4694,2025-03-01
U00529,C009,IL,3699,2025-03-01
U00530,C009,IL,3742,2025-03-01
U00531,C009,IL,3890,2025-03-01
U00532,C009,IL,4625,2025-03-01
U00533,C009,IL,4250,2025-03-01
U00534,C009,IL,3766,2025-03-01
U00535,C009,IL,4031,2025-03-01
U00536,C009,IL,3552,2025-03-01
U00537,C009,IL,3610,2025-03-01
U00538,C009,IL,4241,2025-03-01
U00539,C009,IL,4481,2025-03-01
U00540,C009,IL,4513,2025-03-01
U00541,C009,AL,6026,2025-03-01
U00542,C009,AL,6272,2025-03-01
U00543,C009,AL,5672,2025-03-01
U00544,C009,AL,5644,2025-03-01
U00545,C009,AL,5059,2025-03-01
U00546,C009,AL,6131,2025-03-01
U00547,C009,AL,5454,2025-03-01
U00548,C009,AL,6495,2025-03-01
U00549,C009,AL,6236,2025-03-01
U00550,C009,AL,5311,2025-03-01
U00551,C009,AL,4834,2025-03-01
U00552,C009,AL,5816,2025-03-01
U00553,C009,AL,5554,2025-03-01
U00554,C009,AL,6075,2025-03-01
U00555,C009,AL,5706,2025-03-01
U00556,C009,AL,5561,2025-03-01
U00557,C009,AL,5153,2025-03-01
U00558,C009,AL,5782,2025-03-01
U00559,C009,AL,6459,2025-03-01
U00560,C009,AL,5689,2025-03-01
U00561,C009,AL,4890,2025-03-01
U00562,C009,AL,6375,2025-03-01
U00563,C009,AL,5051,2025-03-01
U00564,C009,AL,4854,2025-03-01
U00565,C009,AL,5270,2025-03-01
U00566,C009,AL,5616,2025-03-01
U00567,C009,AL,5801,2025-03-01
U00568,C009,AL,5857,2025-03-01
U00569,C009,AL,4826,2025-03-01
U00570,C009,AL,6463,2025-03-01
U00571,C009,MC,7106,2025-03-01
U00572,C009,MC,6943,2025-03-01
U00573,C009,MC,6749,2025-03-01
U00574,C009,MC,7300,2025-03-01
U00575,C009,MC,8173,2025-03-01
U00576,C009,MC,7509,2025-03-01
U00577,C009,MC,7438,2025-03-01
U00578,C009,MC,6695,2025-03-01
U00579,C009,MC,8673,2025-03-01
U00580,C009,MC,7729,2025-03-01
U00581,C009,MC,8140,2025-03-01
U00582,C009,MC,7305,2025-03-01
U00583,C009,MC,8814,2025-03-01
U00584,C009,MC,7929,2025-03-01
U00585,C009,MC,7955,2025-03-01
U00586,C010,IL,4415,2025-03-01
U00587,C010,IL,4720,2025-03-01
U00588,C010,IL,3560,2025-03-01
U00589,C010,IL,4649,2025-03-01
U00590,C010,IL,3907,2025-03-01
U00591,C010,IL,4743,2025-03-01
U00592,C010,IL,4400,2025-03-01
U00593,C010,IL,4306,2025-03-01
U00594,C010,IL,3661,2025-03-01
U00595,C010,IL,3631,2025-03-01
U00596,C010,IL,3783,2025-03-01
U00597,C010,IL,3538,2025-03-01
U00598,C010,IL,4044,2025-03-01
U00599,C010,IL,4371,2025-03-01
U00600,C010,IL,4176,2025-03-01
U00601,C010,IL,3551,2025-03-01
U00602,C010,IL,3738,2025-03-01
U00603,C010,IL,4705,2025-03-01
U00604,C010,IL,3754,2025-03-01
U00605,C010,IL,3540,2025-03-01
U00606,C010,AL,5283,2025-03-01
U00607,C010,AL,4939,2025-03-01
U00608,C010,AL,6226,2025-03-01
U00609,C010,AL,4806,2025-03-01
U00610,C010,AL,6167,2025-03-01
U00611,C010,AL,6406,2025-03-01
U00612,C010,AL,5323,2025-03-01
U00613,C010,AL,5827,2025-03-01
U00614,C010,AL,5409,2025-03-01
U00615,C010,AL,5608,2025-03-01
U00616,C010,AL,5809,2025-03-01
U00617,C010,AL,5206,2025-03-01
U00618,C010,AL,5699,2025-03-01
U00619,C010,AL,5582,2025-03-01
U00620,C010,AL,6335,2025-03-01
U00621,C010,AL,5641,2025-03-01
U00622,C010,AL,5104,2025-03-01
U00623,C010,AL,5387,2025-03-01
U00624,C010,AL,5782,2025-03-01
U00625,C010,AL,5308,2025-03-01
U00626,C010,AL,6360,2025-03-01
U00627,C010,AL,5174,2025-03-01
U00628,C010,AL,6171,2025-03-01
U00629,C010,AL,5392,2025-03-01
U00630,C010,AL,5033,2025-03-01
U00631,C010,AL,6452,2025-03-01
U00632,C010,AL,6257,2025-03-01
U00633,C010,AL,5682,2025-03-01
U00634,C010,AL,5238,2025-03-01
U00635,C010,AL,5855,2025-03-01
U00636,C010,MC,6932,2025-03-01
U00637,C010,MC,6724,2025-03-01
U00638,C010,MC,6612,2025-03-01
U00639,C010,MC,7562,2025-03-01
U00640,C010,MC,6842,2025-03-01
U00641,C010,MC,8841,2025-03-01
U00642,C010,MC,8566,2025-03-01
U00643,C010,MC,7100,2025-03-01
U00644,C010,MC,8320,2025-03-01
U00645,C010,MC,8701,2025-03-01
U00646,C010,MC,8907,2025-03-01
U00647,C010,MC,8581,2025-03-01
U00648,C010,MC,6789,2025-03-01
U00649,C010,MC,7565,2025-03-01
U00650,C010,MC,7066,2025-03-01
U00651,C011,IL,3829,2025-03-01
U00652,C011,IL,4424,2025-03-01
U00653,C011,IL,4550,2025-03-01
U00654,C011,IL,4669,2025-03-01
U00655,C011,IL,4265,2025-03-01
U00656,C011,IL,4604,2025-03-01
U00657,C011,IL,3552,2025-03-01
U00658,C011,IL,3595,2025-03-01
U00659,C011,IL,4155,2025-03-01
U00660,C011,IL,3868,2025-03-01
U00661,C011,IL,4653,2025-03-01
U00662,C011,IL,4719,2025-03-01
U00663,C011,IL,3672,2025-03-01
U00664,C011,IL,4523,2025-03-01
U00665,C011,IL,4053,2025-03-01
U00666,C011,IL,4728,2025-03-01
U00667,C011,IL,4646,2025-03-01
U00668,C011,IL,4448,2025-03-01
U00669,C011,IL,4684,2025-03-01
U00670,C011,IL,3602,2025-03-01
U00671,C011,AL,5526,2025-03-01
U00672,C011,AL,5329,2025-03-01
U00673,C011,AL,5667,2025-03-01
U00674,C011,AL,5674,2025-03-01
U00675,C011,AL,5930,2025-03-01
U00676,C011,AL,5798,2025-03-01
U00677,C011,AL,5943,2025-03-01
U00678,C011,AL,6280,2025-03-01
U00679,C011,AL,5019,2025-03-01
U00680,C011,AL,6434,2025-03-01
U00681,C011,AL,5399,2025-03-01
U00682,C011,AL,5663,2025-03-01
U00683,C011,AL,5570,2025-03-01
U00684,C011,AL,5309,2025-03-01
U00685,C011,AL,5679,2025-03-01
U00686,C011,AL,5727,2025-03-01
U00687,C011,AL,5110,2025-03-01
U00688,C011,AL,4823,2025-03-01
U00689,C011,AL,5492,2025-03-01
U00690,C011,AL,5091,2025-03-01
U00691,C011,AL,5987,2025-03-01
U00692,C011,AL,5632,2025-03-01
U00693,C011,AL,5919,2025-03-01
U00694,C011,AL,5829,2025-03-01
U00695,C011,AL,5344,2025-03-01
U00696,C011,AL,5890,2025-03-01
U00697,C011,AL,6057,2025-03-01
