lead_id,community_id,lead_source,created_date,tour_date,deposit_date,move_in_date,status,lost_reason
HL474275,C004,Walk-in,2025-02-04,2025-02-22,,,Lost,Other
HL872748,C004,Web Inquiry,2025-02-07,2025-02-20,,,Lost,Health Decline
HL650559,C004,Referral,2025-02-06,2025-02-19,,,Lost,Other
HL167175,C004,Event,2025-02-07,,2025-02-21,2025-03-17,Won,
HL720106,C004,Facebook,2025-02-28,2025-03-21,,,Lost,Chose Competitor
HL187440,C004,Event,2025-02-19,2025-02-28,2025-03-16,2025-04-07,Won,
HL743577,C004,Event,2025-02-07,2025-02-27,,,Lost,Chose Competitor
HL463882,C005,Print,2025-02-17,2025-03-06,2025-03-14,2025-04-11,Won,
HL661682,C005,Referral,2025-02-04,,,,Lost,Chose Competitor
HL156963,C005,Facebook,2025-02-15,,,,Lost,Affordability
HL117897,C005,Google Ads,2025-02-09,,,,Open,
HL238867,C005,Web Inquiry,2025-02-20,2025-02-26,,,Lost,Chose Competitor
HL627457,C005,Print,2025-02-17,2025-03-09,,,Lost,Affordability
HL948354,C005,Print,2025-02-12,,,,Open,
HL323545,C005,Print,2025-02-06,,,,Open,
HL627810,C005,Web Inquiry,2025-02-21,,,,Open,
HL727506,C005,Event,2025-02-08,2025-02-21,,,Lost,Health Decline
HL906866,C005,Referral,2025-02-24,,,,Lost,Chose Competitor
HL588607,C005,Google Ads,2025-02-23,2025-03-06,2025-03-09,2025-04-15,Won,
HL482474,C005,Event,2025-02-01,,,,Open,
HL153398,C005,Facebook,2025-02-20,2025-03-07,,,Lost,Chose Competitor
HL889240,C005,Print,2025-02-09,,,,Lost,Stayed Home
HL463380,C006,Walk-in,2025-02-15,,,,Open,
HL957276,C006,Print,2025-02-01,2025-02-14,2025-03-10,2025-03-29,Won,
HL777562,C006,Event,2025-02-09,2025-02-27,,,Lost,Health Decline
HL650448,C006,Facebook,2025-02-25,2025-03-18,2025-04-05,2025-04-12,Won,
HL523037,C006,Facebook,2025-02-06,,,,Lost,Health Decline
HL648109,C006,Facebook,2025-02-28,,,,Open,
HL916888,C006,Event,2025-02-08,,,,Open,
HL765392,C007,Event,2025-02-11,,,,Open,
HL249426,C007,Print,2025-02-12,2025-03-03,,,Lost,Stayed Home
HL755178,C007,Web Inquiry,2025-02-02,2025-02-14,,,Lost,Other
HL887734,C007,Web Inquiry,2025-02-01,2025-02-05,,,Lost,Health Decline
HL623451,C007,Referral,2025-02-26,2025-03-02,,,Lost,Health Decline
HL112384,C007,Google Ads,2025-02-06,2025-02-24,,,Lost,Other
HL117907,C007,Referral,2025-02-19,2025-02-25,,,Lost,Other
HL488043,C007,Referral,2025-02-10,2025-02-14,,,Lost,Stayed Home
HL725818,C007,Walk-in,2025-02-02,2025-02-14,2025-03-06,2025-03-08,Won,
HL929235,C007,Web Inquiry,2025-02-21,2025-03-14,2025-03-26,2025-04-14,Won,
HL412328,C008,Print,2025-02-02,,,,Lost,Affordability
HL270222,C008,Facebook,2025-02-09,2025-02-18,,,Lost,Affordability
HL681826,C008,Event,2025-02-20,,,,Open,
HL490746,C008,Facebook,2025-02-15,2025-03-05,,,Lost,Other
HL230978,C008,Event,2025-02-12,,,,Open,
HL285217,C008,Web Inquiry,2025-02-21,,,,Lost,Stayed Home
HL757003,C009,Print,2025-02-18,,,,Open,
HL187276,C009,Web Inquiry,2025-02-23,,,,Open,
HL667340,C009,Print,2025-02-09,,2025-03-03,2025-03-14,Won,
HL662846,C009,Google Ads,2025-02-06,,,,Open,
HL904636,C009,Google Ads,2025-02-03,,,,Open,
HL309638,C009,Facebook,2025-02-08,,,,Open,
HL778191,C009,Referral,2025-02-22,2025-02-28,,,Lost,Affordability
HL541217,C009,Facebook,2025-02-21,,,,Open,
HL537108,C010,Event,2025-02-03,2025-02-14,,,Lost,Stayed Home
HL391186,C010,Event,2025-02-07,,,,Lost,Chose Competitor
HL676702,C010,Event,2025-02-03,2025-02-21,2025-03-15,2025-03-13,Won,
HL516664,C010,Walk-in,2025-02-19,,,,Lost,Health Decline
HL357696,C010,Print,2025-02-02,,,,Open,
HL848702,C010,Referral,2025-02-22,,,,Lost,Chose Competitor
HL809198,C010,Walk-in,2025-02-20,,,,Lost,Health Decline
HL717363,C010,Facebook,2025-02-03,2025-02-12,,,Lost,Stayed Home
HL872917,C010,Google Ads,2025-02-17,2025-03-04,,,Lost,Other
HL579273,C010,Facebook,2025-02-18,2025-03-05,,,Lost,Other
HL697288,C010,Facebook,2025-02-22,,,,Open,
HL703768,C010,Google Ads,2025-02-08,,,,Open,
HL190149,C010,Google Ads,2025-02-13,,,,Lost,Affordability
HL967956,C011,Google Ads,2025-02-08,,,,Open,
HL743793,C011,Web Inquiry,2025-02-01,,,,Open,
HL486527,C011,Walk-in,2025-02-02,,,,Open,
HL259074,C011,Referral,2025-02-09,,,,Open,
HL601912,C011,Print,2025-02-02,,,,Open,
HL758439,C011,Google Ads,2025-02-09,2025-02-16,,,Lost,Affordability
HL431089,C011,Web Inquiry,2025-02-06,2025-02-27,,,Lost,Chose Competitor
HL749990,C011,Google Ads,2025-02-28,2025-03-20,2025-04-03,2025-04-04,Won,
HL261241,C011,Web Inquiry,2025-02-02,,,,Lost,Health Decline
HL144113,C012,Facebook,2025-02-17,2025-02-20,2025-03-22,2025-04-01,Won,
HL599013,C012,Print,2025-02-02,,,,Lost,Health Decline
HL342830,C012,Facebook,2025-02-23,,,,Lost,Affordability
HL443482,C012,Referral,2025-02-16,,,,Open,
HL132032,C012,Google Ads,2025-02-13,2025-03-02,,,Lost,Affordability
HL590652,C012,Facebook,2025-02-02,2025-02-19,2025-03-10,2025-03-03,Won,
HL737880,C012,Print,2025-02-18,,,,Lost,Affordability
HL339612,C012,Web Inquiry,2025-02-06,,,,Lost,Stayed Home
HL882517,C013,Google Ads,2025-02-08,2025-02-11,2025-03-05,2025-03-26,Won,
HL347829,C013,Event,2025-02-02,2025-02-18,,,Lost,Affordability
HL992907,C013,Print,2025-02-02,2025-02-19,,,Lost,Other
HL926354,C013,Referral,2025-02-12,2025-02-15,2025-03-24,2025-03-12,Won,
HL758136,C013,Referral,2025-02-09,2025-02-12,,,Lost,Affordability
HL668663,C013,Referral,2025-02-08,2025-02-14,,,Lost,Other
HL550322,C013,Print,2025-02-06,,,,Open,
HL949546,C013,Event,2025-02-05,2025-02-18,,,Lost,Stayed Home
HL218922,C013,Print,2025-02-18,2025-03-05,,,Lost,Other
HL671224,C014,Print,2025-02-21,,,,Open,
HL530896,C014,Facebook,2025-02-01,2025-02-18,,,Lost,Chose Competitor
HL117969,C014,Walk-in,2025-02-07,,,,Lost,Stayed Home
HL993786,C014,Walk-in,2025-02-07,2025-02-20,,,Lost,Affordability
HL268664,C014,Referral,2025-02-22,2025-03-07,,,Lost,Affordability
HL120259,C014,Facebook,2025-02-13,2025-03-01,,,Lost,Health Decline
HL463087,C014,Google Ads,2025-02-28,2025-03-20,,,Lost,Stayed Home
